"Cloudlet","","Vertual Machine","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load",""
"CL = 28"," -> ","VM = 0","","6517.0","6.962606837606837","","4488.0","6.46685878962536","","6231.0","6.30668016194332","","2979.0","4.446268656716418","","4483.0","6.141095890410959","","4554.0","9.16297786720322","","2214.0","4.6415094339622645","","3129.0","5.223706176961603","","2671.0","4.343089430894309","","5580.0","5.723076923076923","","2807.0","4.790102389078498","","3155.0","5.725952813067151","","5461.0","6.79228855721393","","2522.0","5.2",""
"CL = 29"," -> ","VM = 8","","6517.0","6.962606837606837","","4488.0","6.46685878962536","","6231.0","6.30668016194332","","2979.0","4.446268656716418","","4483.0","6.141095890410959","","4554.0","9.16297786720322","","2214.0","4.6415094339622645","","3129.0","5.223706176961603","","4553.0","7.403252032520325","","5580.0","5.723076923076923","","2807.0","4.790102389078498","","3155.0","5.725952813067151","","5461.0","6.79228855721393","","2522.0","5.2",""
"CL = 30"," -> ","VM = 3","","6517.0","6.962606837606837","","4488.0","6.46685878962536","","6231.0","6.30668016194332","","5362.0","8.002985074626865","","4483.0","6.141095890410959","","4554.0","9.16297786720322","","2214.0","4.6415094339622645","","3129.0","5.223706176961603","","4553.0","7.403252032520325","","5580.0","5.723076923076923","","2807.0","4.790102389078498","","3155.0","5.725952813067151","","5461.0","6.79228855721393","","2522.0","5.2",""
"CL = 31"," -> ","VM = 6","","6517.0","6.962606837606837","","4488.0","6.46685878962536","","6231.0","6.30668016194332","","5362.0","8.002985074626865","","4483.0","6.141095890410959","","4554.0","9.16297786720322","","4310.0","9.035639412997904","","3129.0","5.223706176961603","","4553.0","7.403252032520325","","5580.0","5.723076923076923","","2807.0","4.790102389078498","","3155.0","5.725952813067151","","5461.0","6.79228855721393","","2522.0","5.2",""
"CL = 32"," -> ","VM = 10","","6517.0","6.962606837606837","","4488.0","6.46685878962536","","6231.0","6.30668016194332","","5362.0","8.002985074626865","","4483.0","6.141095890410959","","4554.0","9.16297786720322","","4310.0","9.035639412997904","","3129.0","5.223706176961603","","4553.0","7.403252032520325","","5580.0","5.723076923076923","","4516.0","7.706484641638225","","3155.0","5.725952813067151","","5461.0","6.79228855721393","","2522.0","5.2",""
"CL = 33"," -> ","VM = 13","","6517.0","6.962606837606837","","4488.0","6.46685878962536","","6231.0","6.30668016194332","","5362.0","8.002985074626865","","4483.0","6.141095890410959","","4554.0","9.16297786720322","","4310.0","9.035639412997904","","3129.0","5.223706176961603","","4553.0","7.403252032520325","","5580.0","5.723076923076923","","4516.0","7.706484641638225","","3155.0","5.725952813067151","","5461.0","6.79228855721393","","4380.0","9.030927835051546",""
"CL = 34"," -> ","VM = 7","","6517.0","6.962606837606837","","4488.0","6.46685878962536","","6231.0","6.30668016194332","","5362.0","8.002985074626865","","4483.0","6.141095890410959","","4554.0","9.16297786720322","","4310.0","9.035639412997904","","5606.0","9.358931552587647","","4553.0","7.403252032520325","","5580.0","5.723076923076923","","4516.0","7.706484641638225","","3155.0","5.725952813067151","","5461.0","6.79228855721393","","4380.0","9.030927835051546",""
"CL = 35"," -> ","VM = 9","","6517.0","6.962606837606837","","4488.0","6.46685878962536","","6231.0","6.30668016194332","","5362.0","8.002985074626865","","4483.0","6.141095890410959","","4554.0","9.16297786720322","","4310.0","9.035639412997904","","5606.0","9.358931552587647","","4553.0","7.403252032520325","","7064.0","7.245128205128205","","4516.0","7.706484641638225","","3155.0","5.725952813067151","","5461.0","6.79228855721393","","4380.0","9.030927835051546",""
"CL = 36"," -> ","VM = 11","","6517.0","6.962606837606837","","4488.0","6.46685878962536","","6231.0","6.30668016194332","","5362.0","8.002985074626865","","4483.0","6.141095890410959","","4554.0","9.16297786720322","","4310.0","9.035639412997904","","5606.0","9.358931552587647","","4553.0","7.403252032520325","","7064.0","7.245128205128205","","4516.0","7.706484641638225","","5506.0","9.992740471869329","","5461.0","6.79228855721393","","4380.0","9.030927835051546",""
"CL = 37"," -> ","VM = 4","","6517.0","6.962606837606837","","4488.0","6.46685878962536","","6231.0","6.30668016194332","","5362.0","8.002985074626865","","6691.0","9.165753424657535","","4554.0","9.16297786720322","","4310.0","9.035639412997904","","5606.0","9.358931552587647","","4553.0","7.403252032520325","","7064.0","7.245128205128205","","4516.0","7.706484641638225","","5506.0","9.992740471869329","","5461.0","6.79228855721393","","4380.0","9.030927835051546",""
"CL = 38"," -> ","VM = 2","","6517.0","6.962606837606837","","4488.0","6.46685878962536","","7946.0","8.04251012145749","","5362.0","8.002985074626865","","6691.0","9.165753424657535","","4554.0","9.16297786720322","","4310.0","9.035639412997904","","5606.0","9.358931552587647","","4553.0","7.403252032520325","","7064.0","7.245128205128205","","4516.0","7.706484641638225","","5506.0","9.992740471869329","","5461.0","6.79228855721393","","4380.0","9.030927835051546",""
"CL = 39"," -> ","VM = 1","","6517.0","6.962606837606837","","6712.0","9.671469740634006","","7946.0","8.04251012145749","","5362.0","8.002985074626865","","6691.0","9.165753424657535","","4554.0","9.16297786720322","","4310.0","9.035639412997904","","5606.0","9.358931552587647","","4553.0","7.403252032520325","","7064.0","7.245128205128205","","4516.0","7.706484641638225","","5506.0","9.992740471869329","","5461.0","6.79228855721393","","4380.0","9.030927835051546",""
"CL = 40"," -> ","VM = 12","","6517.0","6.962606837606837","","6712.0","9.671469740634006","","7946.0","8.04251012145749","","5362.0","8.002985074626865","","6691.0","9.165753424657535","","4554.0","9.16297786720322","","4310.0","9.035639412997904","","5606.0","9.358931552587647","","4553.0","7.403252032520325","","7064.0","7.245128205128205","","4516.0","7.706484641638225","","5506.0","9.992740471869329","","7453.0","9.269900497512438","","4380.0","9.030927835051546",""
