"Cloudlet ID","STATUS","Data center ID","VM ID","Time","Start Time","Finish Time","user id"
"136","SUCCESS","3","10","3.47","30.83","34.29","4"
"169","SUCCESS","2","1","2.84","31.46","34.31","4"
"194","SUCCESS","3","12","3.14","31.44","34.58","4"
"143","SUCCESS","2","3","3.67","31.74","35.41","4"
"233","SUCCESS","3","9","2.07","33.54","35.61","4"
"240","SUCCESS","2","2","2.78","33","35.78","4"
"111","SUCCESS","3","13","5.18","30.68","35.85","4"
"196","SUCCESS","2","0","2.53","33.42","35.95","4"
"148","SUCCESS","3","8","2.79","33.65","36.45","4"
"208","SUCCESS","3","12","1.98","34.58","36.56","4"
"175","SUCCESS","3","7","4.34","32.57","36.91","4"
"158","SUCCESS","2","4","4.08","32.89","36.97","4"
"131","SUCCESS","2","5","3.07","34.11","37.18","4"
"254","SUCCESS","2","2","1.51","35.78","37.29","4"
"165","SUCCESS","3","11","4.89","32.87","37.76","4"
"183","SUCCESS","2","1","3.82","34.31","38.13","4"
"247","SUCCESS","3","9","2.7","35.61","38.31","4"
"150","SUCCESS","3","10","4.17","34.29","38.46","4"
"104","SUCCESS","2","6","5.41","33.13","38.54","4"
"210","SUCCESS","2","0","2.7","35.95","38.66","4"
"222","SUCCESS","3","12","2.24","36.56","38.8","4"
"172","SUCCESS","2","4","2.1","36.97","39.08","4"
"157","SUCCESS","2","3","4.03","35.41","39.44","4"
"224","SUCCESS","2","0","1.15","38.66","39.81","4"
"189","SUCCESS","3","7","3.16","36.91","40.07","4"
"197","SUCCESS","2","1","2.05","38.13","40.18","4"
"268","SUCCESS","2","2","3","37.29","40.29","4"
"164","SUCCESS","3","10","1.92","38.46","40.38","4"
"162","SUCCESS","3","8","4.63","36.45","41.08","4"
"125","SUCCESS","3","13","5.33","35.85","41.19","4"
"261","SUCCESS","3","9","3.04","38.31","41.35","4"
"236","SUCCESS","3","12","2.87","38.8","41.67","4"
"145","SUCCESS","2","5","4.76","37.18","41.95","4"
"203","SUCCESS","3","7","1.88","40.07","41.95","4"
"186","SUCCESS","2","4","2.98","39.08","42.06","4"
"238","SUCCESS","2","0","2.36","39.81","42.17","4"
"171","SUCCESS","2","3","2.73","39.44","42.17","4"
"179","SUCCESS","3","11","4.65","37.76","42.41","4"
"211","SUCCESS","2","1","2.56","40.18","42.73","4"
"176","SUCCESS","3","8","1.67","41.08","42.75","4"
"282","SUCCESS","2","2","2.6","40.29","42.9","4"
"178","SUCCESS","3","10","2.71","40.38","43.1","4"
"275","SUCCESS","3","9","1.99","41.35","43.34","4"
"118","SUCCESS","2","6","4.92","38.54","43.45","4"
"252","SUCCESS","2","0","2.02","42.17","44.18","4"
"225","SUCCESS","2","1","1.56","42.73","44.29","4"
"200","SUCCESS","2","4","2.24","42.06","44.29","4"
"289","SUCCESS","3","9","1.06","43.34","44.4","4"
"296","SUCCESS","2","2","1.54","42.9","44.44","4"
"250","SUCCESS","3","12","3.02","41.67","44.69","4"
"190","SUCCESS","3","8","2.58","42.75","45.33","4"
"266","SUCCESS","2","0","1.46","44.18","45.65","4"
"214","SUCCESS","2","4","1.7","44.29","46","4"
"185","SUCCESS","2","3","3.96","42.17","46.13","4"
"303","SUCCESS","3","9","1.88","44.4","46.28","4"
"217","SUCCESS","3","7","4.57","41.95","46.52","4"
"159","SUCCESS","2","5","4.66","41.95","46.61","4"
"139","SUCCESS","3","13","5.48","41.19","46.66","4"
"310","SUCCESS","2","2","2.34","44.44","46.78","4"
"192","SUCCESS","3","10","3.82","43.1","46.91","4"
"193","SUCCESS","3","11","5.02","42.41","47.44","4"
"132","SUCCESS","2","6","4.19","43.45","47.64","4"
"264","SUCCESS","3","12","3.18","44.69","47.87","4"
"317","SUCCESS","3","9","1.91","46.28","48.18","4"
"324","SUCCESS","2","2","1.48","46.78","48.26","4"
"239","SUCCESS","2","1","4.11","44.29","48.4","4"
"280","SUCCESS","2","0","3.14","45.65","48.79","4"
"206","SUCCESS","3","10","2.19","46.91","49.11","4"
"231","SUCCESS","3","7","2.69","46.52","49.22","4"
"204","SUCCESS","3","8","4","45.33","49.33","4"
"228","SUCCESS","2","4","3.42","46","49.42","4"
"331","SUCCESS","3","9","1.25","48.18","49.44","4"
"173","SUCCESS","2","5","3.47","46.61","50.08","4"
"278","SUCCESS","3","12","2.59","47.87","50.46","4"
"199","SUCCESS","2","3","4.33","46.13","50.47","4"
"253","SUCCESS","2","1","2.2","48.4","50.61","4"
"338","SUCCESS","2","2","2.64","48.26","50.9","4"
"207","SUCCESS","3","11","3.78","47.44","51.22","4"
"345","SUCCESS","3","9","1.89","49.44","51.33","4"
"242","SUCCESS","2","4","2.24","49.42","51.66","4"
"245","SUCCESS","3","7","2.53","49.22","51.75","4"
"294","SUCCESS","2","0","2.98","48.79","51.77","4"
"146","SUCCESS","2","6","4.24","47.64","51.88","4"
"292","SUCCESS","3","12","1.44","50.46","51.9","4"
"153","SUCCESS","3","13","5.74","46.66","52.41","4"
"218","SUCCESS","3","8","3.29","49.33","52.61","4"
"220","SUCCESS","3","10","3.83","49.11","52.93","4"
"221","SUCCESS","3","11","2.39","51.22","53.61","4"
"306","SUCCESS","3","12","1.82","51.9","53.72","4"
"308","SUCCESS","2","0","2.13","51.77","53.9","4"
"213","SUCCESS","2","3","4.02","50.47","54.49","4"
"232","SUCCESS","3","8","1.96","52.61","54.57","4"
"187","SUCCESS","2","5","4.61","50.08","54.68","4"
"267","SUCCESS","2","1","4.19","50.61","54.79","4"
"256","SUCCESS","2","4","3.29","51.66","54.95","4"
"160","SUCCESS","2","6","3.18","51.88","55.06","4"
"322","SUCCESS","2","0","1.71","53.9","55.61","4"
"259","SUCCESS","3","7","4.41","51.75","56.16","4"
