"Cloutlet-ID","Algo Wait Time","Round-Robin Wait Time","Algo Execution Time","Round-Robin Execution Time"
"220","44.13","49.11","2.27","3.83"
"221","44.82","51.22","1.64","2.39"
"222","45.43","36.56","2.6","2.24"
"223","45.54","68.57","3.59","4.96"
"224","45.77","38.66","2.03","1.15"
"225","46.11","42.73","1.81","1.56"
"226","46.4","31.63","1.28","1.38"
"227","46.51","54.49","1.28","1.79"
"228","46.7","46","3.43","3.42"
"229","46.57","60.65","1.13","2.06"
"230","46.46","70.21","3.27","5.52"
"231","46.94","46.52","3.32","2.69"
"232","47.12","52.61","2.42","1.96"
"233","47.48","33.54","4.16","2.07"
"234","47.7","52.93","4.13","4.22"
"235","47.7","53.61","2.63","4.66"
"236","47.68","38.8","2.34","2.87"
"237","47.59","73.54","1.81","2.29"
"238","47.8","39.81","2.33","2.36"
"239","47.81","44.29","5.17","4.11"
"240","47.92","33","4.69","2.78"
"241","48.03","56.28","1.67","1.77"
"242","49.13","49.42","2.44","2.24"
"243","49.4","62.71","4.52","5.59"
"244","49.7","75.73","2.79","4.06"
"245","49.55","49.22","3.06","2.53"
"246","49.73","54.57","1.46","1.96"
"247","50.02","35.61","2.69","2.7"
"248","50.13","57.15","3.05","3.81"
"249","50.13","58.27","2.93","4.98"
"250","50.33","41.67","2.49","3.02"
"251","50.25","75.83","5.97","5.87"
"252","51.19","42.17","2.35","2.02"
"253","51.57","48.4","2.28","2.2"
"254","51.64","35.78","2.98","1.51"
"255","51.83","58.05","4.79","4.28"
"256","52.49","51.66","3.46","3.29"
"257","52.61","68.3","2.65","3.12"
"258","52.71","79.79","2.95","6.11"
"259","52.6","51.75","5.38","4.41"
"260","52.82","56.53","1.91","2.98"
"261","52.98","38.31","5.38","3.04"
"262","53.06","60.96","2.71","4.33"
"263","53.18","63.25","4.09","5.43"
"264","53.53","44.69","3.19","3.18"
"265","53.86","81.7","4.23","5.84"
"266","53.92","44.18","2.23","1.46"
"267","54.62","50.61","5.88","4.19"
"268","54.73","37.29","3.04","3"
"269","55.26","62.33","2.62","2.21"
"270","55.66","54.95","2.21","2.99"
"271","55.77","71.42","2.76","5.2"
"272","55.95","85.9","2.74","3.99"
"273","56.14","56.16","2.44","2.5"
"274","56.22","59.51","4.62","3.59"
"275","56.62","41.35","3.23","1.99"
"276","56.73","65.28","2.32","3.18"
"277","57.27","68.68","1.53","2.01"
"278","57.77","47.87","2.19","2.59"
"279","57.88","87.54","4.86","5.88"
"280","57.87","45.65","3.09","3.14"
"281","57.98","54.79","4.47","3.26"
"282","58.09","40.29","3.91","2.6"
"283","58.36","64.54","4.07","3.27"
"284","58.53","57.94","2.91","3.73"
"285","58.7","76.62","1.74","2.43"
"286","58.81","89.9","3.08","4.72"
"287","58.58","58.66","4.02","4.13"
"288","59.04","63.09","3.27","4.28"
"289","59.85","43.34","1.73","1.06"
"290","59.96","68.46","3.07","5.18"
"291","60.44","70.7","3.02","3.77"
"292","60.5","50.46","2.39","1.44"
"293","60.96","93.42","1.39","2.82"
"294","60.85","48.79","5.81","2.98"
"295","61.44","58.05","2.14","2.88"
"296","61.58","42.9","2.54","1.54"
"297","61.89","67.81","1.46","1.59"
"298","62","61.66","2.42","2.22"
"299","62.34","79.05","1.12","2.19"
"300","62.43","94.61","3.03","3.5"
"301","62.45","62.78","4","3.32"
"302","62.32","67.37","3.37","4.36"
"303","62.74","44.4","3.12","1.88"
"304","62.6","73.65","4.07","4.27"
"305","62.89","74.46","3.63","3.2"
"306","63.03","51.9","1.44","1.82"
"307","63.35","96.24","3.42","5.05"
"308","63.46","51.77","2.01","2.13"
"309","63.46","60.93","3.31","3.23"
"310","63.58","44.44","2.47","2.34"
"311","64.12","69.4","4.82","4.31"
"312","64.42","63.89","2.98","2.73"
"313","64.47","81.24","1.11","2.18"
"314","65.47","98.11","2.13","4.41"
"315","65.46","66.1","2.34","2.16"
"316","65.58","71.73","2.33","3.7"
"317","65.87","46.28","3.19","1.91"
"318","65.69","77.92","1.86","2.64"
"319","66.05","77.67","1.66","2.78"
"320","66.46","53.72","4.36","2.7"
"321","66.76","101.3","3.76","5.38"
"322","66.53","53.9","3.3","1.71"
"323","66.76","64.16","1.55","1.63"
"324","66.65","46.78","3.07","1.48"
"325","66.67","73.72","3.8","3.49"
"326","67.4","66.62","4.58","4.11"
"327","67.6","83.42","1.61","3.2"
"328","67.71","102.52","1.61","2.96"
"329","67.8","68.26","4.28","3.94"
"330","67.55","75.43","1.73","2.13"
"331","67.91","48.18","1.25","1.25"
"332","68.31","80.55","3.11","3.88"
"333","69.05","80.44","4.06","4.31"
"334","68.94","56.42","4.4","3.28"
"335","69.16","106.67","3.07","6.18"
"336","69.21","55.61","2.67","2.81"
"337","69.32","65.78","2.21","2.96"
"338","69.27","48.26","3.24","2.64"
"339","69.83","77.21","4.52","3.27"
"340","69.73","70.73","3.04","1.98"
"341","70.52","86.62","3.12","4.35"
"342","70.47","105.49","1.88","2.43"
"343","70.82","72.2","5.09","4.23"
"344","71.42","77.56","2.54","3.11"
"345","71.53","49.44","1.91","1.89"
"346","71.88","84.43","1.97","3.33"
"347","71.99","84.76","2.3","2.89"
"348","72.08","59.7","4.05","2.78"
"349","72.24","112.85","2.63","5.29"
